,BLS_Period_1_0,BLS_Tc_1_0,BLS_SN_1_0,BLS_SR_1_0,BLS_SDE_1_0,BLS_Depth_1_0,BLS_Qtran_1_0,BLS_Qingress_1_0,BLS_OOTmag_1_0,BLS_i1_1_0,BLS_i2_1_0,BLS_deltaChi2_1_0,BLS_fraconenight_1_0,BLS_Npointsintransit_1_0,BLS_Ntransits_1_0,BLS_Npointsbeforetransit_1_0,BLS_Npointsaftertransit_1_0,BLS_Rednoise_1_0,BLS_Whitenoise_1_0,BLS_SignaltoPinknoise_1_0,Ids,Depth,Catalog_Period,Catalog_Epoch,SNR,CatalogY,ManuleY,CombinedY,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
13362,1.8068258,2457827.67756,3.4992,0.00038,3.88637,0.00407,0.00998,0.25037,7.53469,0.35848,0.36846,-3.14718,0.41177,4.0,4.0,6.0,6.0,0.0,0.00195,4.17533,13363,0.0003907,0.850188,2545964.861,0.7814,0.0,0.0,0,0.0424205851672,0.00935566370651,-0.00513560983447,-0.00395787499943,-0.0383182424261,-0.00762428485326,0.0063020340061,0.00285440218113,-0.0166973140821,-0.046346575828,0.0117692619804,0.0109296513194,0.0444918450271,-0.0430818604414,-0.0507658355794,-0.0603913134045,0.0654652476989,-0.0119516683009,-0.166922201687,0.0526871393103
13363,1.81991737,2457827.59601,3.54414,0.00046,3.69419,0.0032,0.02464,0.20972,7.64067,0.30373,0.32837,-5.55681,0.2898,14.0,6.0,12.0,12.0,0.00032,0.00212,5.51134,13364,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.120487577533,-0.0115681991652,-0.0135941421766,-0.0406357895009,-0.0214463386473,0.0276396172577,0.0023356912596,-0.00670684274059,-0.0534414937665,0.0211692136586,-0.00208492576667,-0.000110144870633,-0.045259342358,0.0130129892724,-0.135376618886,-0.0887308297881,0.130836100019,0.122765422881,-0.138487828193,0.00168482649231
13369,3.07187098,2457827.80423,3.48916,0.00151,3.57342,0.00837,0.0399,0.06517,8.04816,0.23507,0.27497,-7.80039,0.52572,18.0,4.0,24.0,18.0,0.00088,0.00678,5.04779,13370,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.42070681333,0.0286148439203,-0.034982294906,0.0693351963047,-0.100186879891,0.0432824351611,0.0983315682899,-0.158595835621,-0.152194791283,0.097247116533,0.554510647672,-0.198045994469,-0.423637730308,-0.00665033510949,0.113783358983,0.628863689754,0.398006537036,-0.372912091806,-0.33849795677,-0.457487650336
13370,1.28109407,2457827.41947,4.05843,0.00304,4.73209,0.01124,0.10211,0.20982,8.96604,0.26011,0.36222,-14.29408,0.16371,52.0,8.0,48.0,52.0,0.00065,0.01361,5.91187,13371,0.0,-1.0,0.0,0.0,0.0,0.0,0,1.09674341989,-0.0769493957341,-0.0495208764675,-0.069157074449,-0.54245270948,0.427171212433,0.0609008332316,-0.136447142265,-0.729330429685,0.381027018213,0.971213503736,0.0055117566353,-0.307460463046,-0.619637783035,-0.425594351083,-0.252311797199,-0.166284823867,1.01680413642,-0.0418077655703,1.42862615806
13373,4.43607005,2457827.81537,3.42168,0.00087,3.45351,0.00405,0.04014,0.25463,7.58649,0.15904,0.19918,-6.75868,0.62793,27.0,3.0,24.0,24.0,0.00069,0.00326,5.45194,13374,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.0806502382801,0.00786892461019,0.00292148917671,0.0444561632473,-0.081968250409,0.00787389274431,-0.17315995047,0.0107547316376,-0.106064507412,0.0321283837878,0.37316633756,0.330076609934,0.208743922817,0.00660496814921,-0.115070955908,0.100850245376,0.047462069954,-0.0637233393314,0.222860759656,-0.153609093173
13380,2.54624505,2457828.20735,3.71175,0.00184,4.1241,0.01156,0.02932,0.2042,8.90397,0.45133,0.48065,-21.07607,0.33035,14.0,4.0,14.0,14.0,0.0,0.00818,5.28713,13381,0.0,-1.0,0.0,0.0,0.0,0.0,0,1.05066970412,-0.0532551784138,-0.140739767658,0.0121036650457,-0.232593658692,0.0731730280468,-0.146131567318,-0.272949645401,-0.214144543767,0.365078272469,-0.00629162919898,-0.318565796287,-0.258356082871,0.350429209232,-0.175091687573,-0.389260687745,-0.514044626354,0.0377151795986,0.210396318924,0.414175424124
13386,1.14915953,2457827.9568,3.281,0.00053,3.37741,0.00574,0.01125,0.19818,7.87343,0.80886,0.82011,-5.06904,0.334,6.0,6.0,5.0,4.0,0.0,0.00244,5.76279,13387,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.291808350413,0.040939817018,0.0215779099373,-0.0166729000055,-0.0404332012801,-0.11013735525,0.021837910635,0.0230984585786,-0.00655614879723,0.0374071590923,0.0258561853584,-0.0881803816164,0.0649588375083,0.0363888084898,-0.00853786695448,0.0484518539149,-0.186472442363,-0.119118236659,0.155167561686,-0.0121443147365
13390,1.11780059,2457827.74468,3.4001,0.00229,3.65725,0.01403,0.03844,0.17461,9.47572,0.62835,0.66678,-15.05672,0.27861,20.0,9.0,19.0,18.0,0.0,0.01098,5.71288,13391,0.0,-1.0,0.0,0.0,0.0,0.0,0,1.47165080922,0.063213866454,-0.0620312961064,-0.247708903368,-0.196851336226,0.0118250565813,0.0663234546146,0.145831731704,-0.12760332033,-0.134642466707,-0.36820180867,0.479307882428,-0.0739410946594,0.133698719461,0.875461804165,-0.00329040670673,-0.0673936390322,-0.836766872809,-0.221565736533,0.316834417382
13407,2.12308158,2457827.97651,4.3502,0.00202,4.97665,0.02571,0.01054,0.20638,8.16828,0.44486,0.45541,-19.71054,0.53636,6.0,5.0,6.0,5.0,0.0,0.00779,8.08756,13408,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.508990431149,-0.0110296982217,-0.112283241344,0.12423101196,0.251105373197,-0.0393958382063,-0.0998916452936,0.112403558891,0.04204607805,-0.00599757798398,0.0302559233514,-0.219527699008,0.244877140877,-0.359399446472,-0.313549241117,0.648527085575,-0.215752121991,-0.0667884892952,0.375440903398,0.256943780546
13410,5.43162869,2457828.08392,3.84821,0.0005,4.29657,0.0017,0.13731,0.13969,6.60719,0.12707,0.26438,-5.30274,0.40741,71.0,2.0,69.0,72.0,6e-05,0.00191,7.37911,13411,0.000294,5.12333,2545965.083,0.415778787338,0.0,0.0,0,-0.6401906123,0.0188575259785,0.0613348983399,0.0312541833957,-0.0621517337255,-0.0488903848375,-0.0153623663431,0.00643777836084,-0.0122008696344,0.058552420009,0.10432070171,-0.0935953565863,0.014310625273,0.0523597009677,0.0410023390101,0.0332040109107,0.0919607085462,0.00114743634561,-0.141272406097,-0.0950285614977
