,P14,P5,P4,P1,P12,BLS1,BLS3,P17,P10,P18,P6,P15,BLS0,P11,P8,BLS2,BLS5,Period,BLS16,P0,BLS10,P3,BLS6,BLS11,BLS25,BLS26,BLS29,BLS4,BLS14,P13,Y,IDs
1197,24.0,0.04877,0.00107,2.77614,37.0,-0.107086353874,-0.536019790159,0.00025,-28259.07024,9.21427,0.16947,37.0,0.563163897112,0.99869,0.01448,0.444958210646,-0.864925640714,7.84236685,0.0801883917826,0.325602163508,0.0737097665861,2.77614,-0.327524123227,0.028995103405,-0.296995754594,-0.815933932573,0.0933435520456,-0.961718389146,0.234173701537,2.0,1.0,2197
1894,7.0,0.01405,0.01807,4.68006,7.0,0.381128656009,1.31783065007,0.00895,-24.64626,5.34087,0.20302,6.0,-1.62476942798,0.27222,0.93799,-0.470643221912,0.379384155087,0.944669,0.81932346164,0.913558330577,-1.03044877679,5.0293,0.232988835786,-0.177901946342,-1.0979322241,-0.495576457754,-0.377954953247,-0.869486023011,-0.14864879208,7.0,1.0,2894
1949,20.0,0.04025,0.01738,3.75479,18.0,0.229672077659,0.267365890094,0.01304,-23.06021,5.43182,0.14972,19.0,-1.08438854386,0.21788,0.39287,-0.803153175617,0.183220263757,1.40784423,-0.0480783420042,0.602265184967,1.21574376659,3.98395,-0.398294498477,-0.130307501849,-1.55427097421,-0.923846645749,-0.695582977976,-1.76622046259,0.0100398901431,7.0,1.0,2949
1254,5.0,0.01253,0.00219,5.28836,8.0,-1.39140127514,-1.35980783193,0.00035,-3239.63589,17.73767,0.38986,6.0,-1.3337019175,0.25221,0.23871,-0.229412741008,-0.394735179706,0.51108752,1.17369915573,0.146034464743,2.88469208078,5.23022,2.25761660847,-0.168530984229,0.576646047119,-0.116789669359,0.0800538078132,0.728628221931,0.575936330463,8.0,1.0,2254
1080,20.0,0.03711,0.00202,6.27976,19.0,0.161651775471,-0.361015457358,0.00012,-261634.92337,28.74767,0.16482,19.0,0.820259472545,0.52022,0.66037,-0.181168387753,1.72497135071,5.46465019,0.831890719408,3.73091243435,0.274691088841,5.31511,1.1854978891,-0.295107281812,0.356937438733,0.138422112904,-0.634930748394,-1.84540385558,0.329974102662,2.0,1.0,2080
1446,18.0,0.04727,0.00232,4.74269,19.0,-0.0910324013367,-0.316083915037,0.00029,-1074.28704,20.98885,0.23384,18.0,0.983391252462,0.62301,0.41544,-0.241031786246,-0.592598461423,7.97011178,-0.167781793848,3.52030763083,0.30553015453,4.04536,0.152842890492,-0.286006675786,0.407424104635,-0.847628425367,-0.692290302099,-0.789260167189,-0.461914503217,1.0,1.0,2446
1136,22.0,0.04212,0.0021,6.31058,21.0,0.396018713686,-0.535122832664,0.00012,-142619.99624,28.94495,0.18693,21.0,0.725414835966,0.51136,0.35202,0.354841110077,0.623939506918,5.28853896,0.546204893383,1.99387848072,-0.485765163944,5.45928,0.159581406122,0.0337341098227,-0.0823426814984,0.000453700987992,-0.0104699738711,-1.64867472544,-0.0397494451952,2.0,1.0,2136
1189,20.0,0.0408,0.00203,6.26618,22.0,-0.0412104014138,-0.471773249168,0.00012,-55614.50778,28.41146,0.20276,22.0,0.869201476159,0.53897,0.06737,-0.337344840769,1.51227099786,5.54245214,-0.0117842281702,0.507295225848,0.33672987884,5.1287,1.30229112753,0.488085144661,0.440614981358,-0.374760517796,-0.467714106045,-1.30588141995,-0.595878513759,2.0,1.0,2189
1129,24.0,0.05503,0.00209,5.71036,24.0,-1.07228340523,0.523684451609,0.00019,-92509.15979,31.75939,0.39215,24.0,0.20850004125,0.36486,0.5958,2.11650283989,0.369702878636,2.99865059,0.194329951248,1.88995274603,1.00738470339,5.16555,-0.974463176475,-0.793620255378,0.557955771262,0.00863716371134,-0.744889144762,0.500873406685,-0.114951092177,3.0,1.0,2129
1209,5.0,0.00977,0.00178,4.72657,6.0,-1.15953370871,-1.49612522874,0.00033,-5529.59406,13.01894,0.28654,3.0,-1.23002428779,0.2552,0.40346,-0.24920465089,-0.378598146458,0.51110711,1.31992984811,0.229541025703,2.82711812799,4.73336,1.34873971999,-0.927837933199,-2.63033166281,-0.721146897998,0.874971444926,0.578872878039,0.552023461057,6.0,1.0,2209
